-181.394, 40.388, 4.644, 17.506
-181.394, 40.233, 4.657, 17.539
-181.394, 40.077, 4.669, 17.572
-181.393, 39.921, 4.682, 17.605
-181.393, 39.765, 4.695, 17.638
-181.393, 39.608, 4.707, 17.671
-181.393, 39.451, 4.720, 17.704
-181.393, 39.293, 4.733, 17.737
-181.393, 39.135, 4.746, 17.770
-181.393, 38.976, 4.758, 17.803
-181.393, 38.818, 4.771, 17.836
-181.393, 38.658, 4.784, 17.869
-181.393, 38.498, 4.797, 17.902
-181.393, 38.338, 4.810, 17.935
-181.393, 38.177, 4.823, 17.968
-181.393, 38.016, 4.836, 18.001
-181.393, 37.855, 4.850, 18.034
-181.393, 37.693, 4.863, 18.067
-181.393, 37.530, 4.876, 18.100
-181.393, 37.367, 4.889, 18.133
-181.393, 37.204, 4.902, 18.166
-181.393, 37.040, 4.916, 18.199
-181.393, 36.876, 4.929, 18.232
-181.393, 36.712, 4.943, 18.265
-181.392, 36.546, 4.956, 18.298
-181.392, 36.381, 4.970, 18.331
-181.392, 36.215, 4.983, 18.364
-181.392, 36.049, 4.997, 18.397
-181.392, 35.882, 5.010, 18.430
-181.392, 35.714, 5.024, 18.463
-181.392, 35.546, 5.038, 18.496
-181.392, 35.378, 5.052, 18.529
-181.392, 35.209, 5.065, 18.562
-181.392, 35.040, 5.079, 18.595
-181.392, 34.871, 5.092, 18.628
-181.392, 34.701, 5.095, 18.661
-181.391, 34.532, 5.077, 18.694
-181.391, 34.363, 5.058, 18.727
-181.391, 34.195, 5.043, 18.760
-181.391, 34.028, 5.032, 18.793
-181.391, 33.860, 5.025, 18.826
-181.391, 33.693, 5.021, 18.859
-181.391, 33.526, 5.021, 18.892
-181.391, 33.358, 5.025, 18.925
-181.391, 33.190, 5.032, 18.958
-181.390, 33.022, 5.041, 18.991
-181.390, 32.854, 5.054, 19.024
-181.390, 32.685, 5.069, 19.057
-181.390, 32.515, 5.086, 19.090
-181.390, 32.345, 5.105, 19.123
-181.390, 32.174, 5.126, 19.156
-181.390, 32.003, 5.148, 19.189
-181.390, 31.830, 5.172, 19.222
-181.390, 31.657, 5.196, 19.255
-181.389, 31.483, 5.221, 19.288
-181.389, 31.309, 5.246, 19.321
-181.389, 31.133, 5.272, 19.354
-181.389, 30.957, 5.297, 19.387
-181.389, 30.779, 5.322, 19.420
-181.389, 30.601, 5.347, 19.453
-181.388, 30.422, 5.371, 19.486
-181.388, 30.243, 5.395, 19.519
-181.388, 30.062, 5.419, 19.552
-181.388, 29.881, 5.441, 19.585
-181.388, 29.699, 5.463, 19.618
-181.388, 29.516, 5.485, 19.651
-181.387, 29.333, 5.505, 19.684
-181.387, 29.149, 5.525, 19.717
-181.387, 28.965, 5.545, 19.750
-181.387, 28.779, 5.564, 19.783
-181.387, 28.593, 5.582, 19.816
-181.387, 28.407, 5.600, 19.849
-181.386, 28.220, 5.617, 19.882
-181.386, 28.032, 5.634, 19.915
-181.386, 27.844, 5.651, 19.948
-181.386, 27.656, 5.667, 19.981
-181.386, 27.466, 5.683, 20.014
-181.385, 27.277, 5.699, 20.047
-181.385, 27.086, 5.714, 20.080
-181.385, 26.895, 5.730, 20.113
-181.385, 26.704, 5.746, 20.146
-181.385, 26.512, 5.761, 20.179
-181.384, 26.320, 5.777, 20.212
-181.384, 26.127, 5.792, 20.245
-181.384, 25.934, 5.808, 20.278
-181.384, 25.740, 5.823, 20.311
-181.383, 25.545, 5.839, 20.344
-181.383, 25.350, 5.855, 20.377
-181.383, 25.155, 5.871, 20.410
-181.383, 24.959, 5.887, 20.443
-181.382, 24.762, 5.903, 20.476
-181.382, 24.565, 5.920, 20.509
-181.382, 24.367, 5.936, 20.542
-181.382, 24.169, 5.953, 20.575
-181.381, 23.970, 5.970, 20.608
-181.381, 23.771, 5.987, 20.641
-181.381, 23.571, 6.004, 20.674
-181.381, 23.370, 6.021, 20.707
-181.380, 23.169, 6.039, 20.740
-181.380, 22.968, 6.056, 20.773
-181.380, 22.765, 6.074, 20.806
-181.379, 22.563, 6.092, 20.839
-181.379, 22.359, 6.109, 20.872
-181.379, 22.155, 6.127, 20.905
-181.379, 21.950, 6.145, 20.938
-181.378, 21.745, 6.164, 20.971
-181.378, 21.539, 6.182, 21.004
-181.378, 21.333, 6.200, 21.037
-181.377, 21.126, 6.218, 21.070
-181.377, 20.918, 6.237, 21.103
-181.377, 20.710, 6.255, 21.136
-181.376, 20.501, 6.274, 21.169
-181.376, 20.291, 6.292, 21.202
-181.376, 20.081, 6.311, 21.235
-181.375, 19.870, 6.329, 21.268
-181.375, 19.659, 6.348, 21.301
-181.375, 19.447, 6.367, 21.334
-181.374, 19.234, 6.385, 21.367
-181.374, 19.021, 6.404, 21.400
-181.374, 18.807, 6.423, 21.433
-181.373, 18.593, 6.442, 21.466
-181.373, 18.378, 6.461, 21.499
-181.373, 18.162, 6.480, 21.532
-181.372, 17.945, 6.499, 21.565
-181.372, 17.728, 6.518, 21.598
-181.371, 17.511, 6.537, 21.631
-181.371, 17.292, 6.557, 21.664
-181.371, 17.073, 6.576, 21.697
-181.370, 16.854, 6.595, 21.730
-181.370, 16.633, 6.615, 21.763
-181.369, 16.413, 6.634, 21.796
-181.369, 16.191, 6.654, 21.829
-181.369, 15.969, 6.673, 21.862
-181.368, 15.746, 6.693, 21.895
-181.368, 15.522, 6.713, 21.928
-181.367, 15.298, 6.732, 21.961
-181.367, 15.073, 6.752, 21.994
-181.367, 14.848, 6.772, 22.027
-181.366, 14.622, 6.792, 22.060
-181.366, 14.395, 6.812, 22.093
-181.365, 14.167, 6.832, 22.126
-181.365, 13.939, 6.852, 22.159
-181.364, 13.710, 6.871, 22.192
-181.364, 13.481, 6.891, 22.225
-181.363, 13.251, 6.911, 22.258
-181.363, 13.020, 6.930, 22.291
-181.363, 12.788, 6.950, 22.324
-181.362, 12.556, 6.970, 22.357
-181.362, 12.324, 6.990, 22.390
